Entry,Index,NAME,ano(ANO1)
search2|DONWOU|254,255,DONWOU,29.0
search2|DONWUA|255,256,DONWUA,29.0
search2|DOVSOY|256,257,DOVSOY,29.0
search2|DOVSOY|257,258,DOVSOY,29.0
search2|DOVSUE|258,259,DOVSUE,29.0
search2|DOVSUE|259,260,DOVSUE,29.0
search2|DOYGON|260,261,DOYGON,29.0
search2|DOYGUT|261,262,DOYGUT,29.0
search2|DOYHAA|262,263,DOYHAA,29.0
search2|DOYSUF|263,264,DOYSUF,27.0
search2|DOYSUF|264,265,DOYSUF,27.0
search2|DOYSUF|265,266,DOYSUF,28.0
search2|DOYSUF|266,267,DOYSUF,28.0
search2|DOYTAM|267,268,DOYTAM,29.0
search2|DOYTAM|268,269,DOYTAM,28.0
search2|DOYTEQ|269,270,DOYTEQ,29.0
search2|DOYTEQ|270,271,DOYTEQ,29.0
search2|DOYTIU|271,272,DOYTIU,30.0
search2|DOYTIU|272,273,DOYTIU,29.0
search2|DOYTOA|273,274,DOYTOA,29.0
search2|DOYTOA|274,275,DOYTOA,46.0
search2|DUBQIA|275,276,DUBQIA,30.0
search2|DUBQIA|276,277,DUBQIA,30.0
search2|DUBQOG|277,278,DUBQOG,29.0
search2|DUBQOG|278,279,DUBQOG,29.0
search2|DUBQUM|279,280,DUBQUM,28.0
search2|DUBQUM|280,281,DUBQUM,28.0
search2|DUBWOP|281,282,DUBWOP,29.0
search2|EBIQUE|282,283,EBIQUE,29.0
search2|EBIQUE|283,284,EBIQUE,29.0
search2|ECUHIT|284,285,ECUHIT,29.0
search2|EDOJAJ|285,286,EDOJAJ,29.0
search2|EDOJAJ|286,287,EDOJAJ,29.0
search2|EFUJAS|287,288,EFUJAS,29.0
search2|EFUJAS|288,289,EFUJAS,30.0
search2|EFUJEW|289,290,EFUJEW,29.0
search2|EFUJEW|290,291,EFUJEW,25.0
search2|EGIMUC|291,292,EGIMUC,63.0
search2|EHEYAS|292,293,EHEYAS,29.0
search2|EJEWEW|293,294,EJEWEW,29.0
search2|EJEWEW|294,295,EJEWEW,29.0
search2|EJEWEW|295,296,EJEWEW,29.0
search2|EJEWEW|296,297,EJEWEW,29.0
search2|EJEWEW|297,298,EJEWEW,29.0
search2|EJEWEW|298,299,EJEWEW,29.0
search2|EJEWEW|299,300,EJEWEW,29.0
search2|EJEWEW|300,301,EJEWEW,29.0
search2|EKOJAS|301,302,EKOJAS,29.0
search2|EKOJEW|302,303,EKOJEW,29.0
search2|EKOJEW|303,304,EKOJEW,29.0
search2|EKUXIT|304,305,EKUXIT,30.0
search2|EKUXOZ|305,306,EKUXOZ,30.0
search2|EKUXUF|306,307,EKUXUF,30.0
search2|ELIMUK|307,308,ELIMUK,29.0
search2|ELINAR|308,309,ELINAR,29.0
search2|ENAFEF|309,310,ENAFEF,25.0
search2|ENAFEF|310,311,ENAFEF,29.0
search2|ENAFIJ|311,312,ENAFIJ,25.0
search2|ENAFIJ|312,313,ENAFIJ,29.0
search2|ENILOC|313,314,ENILOC,28.0
search2|ENILOC|314,315,ENILOC,27.0
search2|EQEREA|315,316,EQEREA,27.0
search2|EQEROK|316,317,EQEROK,27.0
search2|EQEROK|317,318,EQEROK,27.0
search2|EREQEX|318,319,EREQEX,27.0
search2|ERUZUP|319,320,ERUZUP,30.0
search2|ERUZUP|320,321,ERUZUP,30.0
search2|ESABAE|321,322,ESABAE,25.0
search2|ESAFIQ|322,323,ESAFIQ,29.0
search2|ESAFIQ|323,324,ESAFIQ,29.0
search2|ESAFIQ|324,325,ESAFIQ,29.0
search2|ESAFOW|325,326,ESAFOW,29.0
search2|ESAFOW|326,327,ESAFOW,29.0
search2|ESICAL|327,328,ESICAL,25.0
search2|ESICAL|328,329,ESICAL,25.0
search2|ESICAL|329,330,ESICAL,25.0
search2|ESICEP|330,331,ESICEP,25.0
search2|ESICEP|331,332,ESICEP,25.0
search2|ESICEP|332,333,ESICEP,25.0
search2|ESICEP|333,334,ESICEP,25.0
search2|ESICEP|334,335,ESICEP,25.0
search2|ESICEP|335,336,ESICEP,25.0
search2|ESICIT|336,337,ESICIT,25.0
search2|ESICIT|337,338,ESICIT,25.0
search2|ESICIT|338,339,ESICIT,25.0
search2|ESUCAZ|339,340,ESUCAZ,27.0
search2|ESUCAZ|340,341,ESUCAZ,27.0
search2|ETPSCP|341,342,ETPSCP,27.0
search2|ETPSCP|342,343,ETPSCP,27.0
search2|EVUKOV|343,344,EVUKOV,28.0
search2|EWOZAS|344,345,EWOZAS,29.0
search2|EWOZAS|345,346,EWOZAS,29.0
search2|EWOZEW|346,347,EWOZEW,29.0
search2|EWOZIA|347,348,EWOZIA,29.0
search2|EWOZIA|348,349,EWOZIA,29.0
search2|EWULUD|349,350,EWULUD,26.0
search2|FACBAO|350,351,FACBAO,28.0
search2|FAFZUK|351,352,FAFZUK,28.0
search2|FAGBAT|352,353,FAGBAT,28.0
search2|FAGRIR|353,354,FAGRIR,28.0
search2|FAGRIR|354,355,FAGRIR,28.0
search2|FAGROX|355,356,FAGROX,28.0
search2|FAGRUD|356,357,FAGRUD,28.0
search2|FAGRUD|357,358,FAGRUD,28.0
search2|FALQIW|358,359,FALQIW,29.0
search2|FALQOC|359,360,FALQOC,29.0
search2|FALQUI|360,361,FALQUI,29.0
search2|FALRAP|361,362,FALRAP,29.0
search2|FALRAP|362,363,FALRAP,29.0
search2|FALRET|363,364,FALRET,29.0
search2|FALRIX|364,365,FALRIX,29.0
search2|FALRIX|365,366,FALRIX,29.0
search2|FAMKAF|366,367,FAMKAF,29.0
search2|FAMKEJ|367,368,FAMKEJ,29.0
search2|FAVGEQ|368,369,FAVGEQ,29.0
search2|FAVGIU|369,370,FAVGIU,29.0
search2|FAWMEW|370,371,FAWMEW,48.0
search2|FAWMEW|371,372,FAWMEW,48.0
search2|FAWMEW|372,373,FAWMEW,48.0
search2|FAWMEW|373,374,FAWMEW,48.0
search2|FAWMIA|374,375,FAWMIA,48.0
search2|FAWMIA|375,376,FAWMIA,48.0
search2|FAXDIR|376,377,FAXDIR,29.0
search2|FEDYAQ|377,378,FEDYAQ,30.0
search2|FEDYAQ|378,379,FEDYAQ,30.0
search2|FEDYEU|379,380,FEDYEU,30.0
search2|FEFPAL|380,381,FEFPAL,29.0
search2|FEHTIX|381,382,FEHTIX,26.0
search2|FEHTIX01|382,383,FEHTIX01,26.0
search2|FEHYUP|383,384,FEHYUP,29.0
search2|FEHZAW|384,385,FEHZAW,29.0
search2|FEHZAW|385,386,FEHZAW,29.0
search2|FEHZEA|386,387,FEHZEA,29.0
search2|FERBEM|387,388,FERBEM,29.0
search2|FERBEM|388,389,FERBEM,29.0
search2|FESZOT|389,390,FESZOT,66.0
search2|FESZOT|390,391,FESZOT,66.0
search2|FEVTAC|391,392,FEVTAC,27.0
search2|FEVTAC|392,393,FEVTAC,27.0
search2|FEVTAC|393,394,FEVTAC,27.0
search2|FEVTEG|394,395,FEVTEG,29.0
search2|FEVTUW|395,396,FEVTUW,28.0
search2|FEVTUW|396,397,FEVTUW,28.0
search2|FEWGEV|397,398,FEWGEV,28.0
search2|FEWGEV|398,399,FEWGEV,28.0
search2|FEYDIX|399,400,FEYDIX,30.0
search2|FEYDIX|400,401,FEYDIX,30.0
search2|FEYDOD|401,402,FEYDOD,30.0
search2|FEYDOD|402,403,FEYDOD,30.0
search2|FIDFUU|403,404,FIDFUU,30.0
search2|FIDFUU|404,405,FIDFUU,30.0
search2|FIFWEW|405,406,FIFWEW,29.0
search2|FIFWIA|406,407,FIFWIA,29.0
search2|FIGRIY|407,408,FIGRIY,29.0
search2|FIGROE|408,409,FIGROE,29.0
search2|FIGRUK|409,410,FIGRUK,29.0
search2|FIGSAR|410,411,FIGSAR,29.0
search2|FINLOD|411,412,FINLOD,29.0
search2|FISKUQ|412,413,FISKUQ,29.0
search2|FISKUQ|413,414,FISKUQ,29.0
search2|FISKUQ|414,415,FISKUQ,29.0
search2|FISKUQ|415,416,FISKUQ,29.0
search2|FISVIP|416,417,FISVIP,60.0
search2|FISVIP|417,418,FISVIP,3.0
search2|FISVIP|418,419,FISVIP,3.0
search2|FISWIQ|419,420,FISWIQ,29.0
search2|FOCFOV|420,421,FOCFOV,30.0
search2|FOCGOV|421,422,FOCGOV,29.0
search2|FOCGOV|422,423,FOCGOV,29.0
search2|FOCGUB|423,424,FOCGUB,29.0
search2|FOCHAI|424,425,FOCHAI,29.0
search2|FOCHAI|425,426,FOCHAI,29.0
search2|FOCHEM|426,427,FOCHEM,29.0
search2|FOCHEM|427,428,FOCHEM,29.0
search2|FOJWOQ|428,429,FOJWOQ,90.0
search2|FOQDEU|429,430,FOQDEU,27.0
search2|FOQDEU|430,431,FOQDEU,27.0
search2|FOQDIY|431,432,FOQDIY,27.0
search2|FOSCEV|432,433,FOSCEV,25.0
search2|FOSCEV|433,434,FOSCEV,25.0
search2|FOSCEV10|434,435,FOSCEV10,25.0
search2|FOSCEV10|435,436,FOSCEV10,25.0
search2|FOSSAI|436,437,FOSSAI,30.0
search2|FOSSEM|437,438,FOSSEM,30.0
search2|FOYFIJ|438,439,FOYFIJ,29.0
search2|FUHPIH|439,440,FUHPIH,28.0
search2|FUHPIH10|440,441,FUHPIH10,28.0
search2|FUNDAV|441,442,FUNDAV,65.0
search2|FUNDEZ|442,443,FUNDEZ,66.0
search2|FUNDID|443,444,FUNDID,67.0
search2|FUNDOJ|444,445,FUNDOJ,69.0
search2|FUNDUP|445,446,FUNDUP,70.0
search2|FUNFAX|446,447,FUNFAX,68.0
search2|FUSXEX|447,448,FUSXEX,29.0
search2|FUSXIB|448,449,FUSXIB,29.0
search2|FUVCIL|449,450,FUVCIL,25.0
search2|FUVCIL|450,451,FUVCIL,29.0
search2|FUVCIL|451,452,FUVCIL,25.0
search2|FUVCIL|452,453,FUVCIL,29.0
